名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京海淀区上地5号咖啡厅距离,北京海淀区上地5号咖啡厅时间
CHOC-A- LOT,https://www.dianping.com/shop/k1PVOBjNYMobT5kG,红星胡同乙14号,[北京],"116.422120,39.914724",13552274728,2023/3/30 11:50,24.46 km,49 min,26.93 km,104 min,23.36 km,78 min
CHOC-A-LOT,https://www.dianping.com/shop/laU8MTEaZpDQTMpN,东方东路6号御东商务楼,[北京],"116.464278,39.955862",13552274728,2023/3/30 11:49,21.00 km,39 min,23.47 km,78 min,19.90 km,62 min
A.C.W. 手羽大使,https://www.dianping.com/shop/EgpUvzKbwlZtKqL7,麦子店西街39号富驿时尚酒店二层,[北京],"116.468490,39.944997",13691271491,2023/3/29 16:41,19.12 km,38 min,21.12 km,76 min,17.51 km,60 min
青鸟居酒屋,https://www.dianping.com/shop/k9C1UC2F1dsSgoQX,东三环中路富力双子座B座一楼1104号（富力万丽酒店对面）,[北京],"116.460659,39.897848",15810900848,2023/3/26 22:27,26.98 km,59 min,29.45 km,107 min,25.88 km,93 min
北京1983面包坊,https://www.dianping.com/shop/l66XWpIO5GltjyiE,崇文门西大街2号,[北京],"116.418049,39.900344",65122711,2023/3/23 11:13,26.76 km,54 min,25.31 km,104 min,27.39 km,95 min
鲍师傅糕点,https://www.dianping.com/shop/G5FihXCWDFUsMUEx,建国门外大街甲5号,[北京],"116.451052,39.909009",15600358451,2023/3/22 19:29,26.48 km,54 min,28.95 km,101 min,25.38 km,87 min
便宜坊烤鸭,https://www.dianping.com/shop/k8tlPl2Za1YIrtB2,"安翔北路安翔里甲21号楼(近健翔桥)（水立方西300米,解放军306医院南门斜对面）",[北京],"116.382325,39.987328",64856688,2023/3/22 14:38,10.82 km,28 min,13.18 km,54 min,9.56 km,33 min
东岸爵士吧,https://www.dianping.com/shop/laF8fgywsJUpWU4t,什刹海街道前海南沿2号二层（什刹海地铁站C东南口步行200米）,[北京],"116.395340,39.936118",84032131,2023/3/21 16:40,17.02 km,35 min,19.49 km,70 min,15.91 km,53 min
Tango by Ala House,https://www.dianping.com/shop/H2i76JKd0hex41wc,亮马河南路18号二层,[北京],"116.446957,39.942773",85322418,2023/3/21 16:39,27.00 km,40 min,24.55 km,77 min,20.97 km,63 min
fu3福叁咖啡,https://www.dianping.com/shop/H4DV0NNsaVpQbWjL,工人体育场北路1-1号底商,[北京],"116.460212,39.934052",18210852885,2023/3/20 10:22,22.90 km,43 min,25.37 km,90 min,21.80 km,74 min
COMMUNE RESERVE幻师,https://www.dianping.com/shop/l4TvBaqWt8HmqIn2,西大望路甲6号光华国际大厦1层101,[北京],"116.478551,39.912020",13693232573,2023/3/18 19:22,31.90 km,58 min,32.65 km,109 min,29.03 km,98 min
SCONE U司康与你,https://www.dianping.com/shop/H6mxOBUsyRXxBbFo,百子湾路苹果社区北区2号楼c座外中国烟酒下负一层b1-14室,[北京],"116.469999,39.899945",15010796530,2023/3/16 14:38,32.93 km,62 min,33.67 km,117 min,30.06 km,105 min
码头一碗面,https://www.dianping.com/shop/l5KwunSGlplh06nT,呼家楼北街福奈特洗衣店隔壁,[北京],"116.464999,39.922700",56236846,2023/3/16 9:28,24.60 km,49 min,27.07 km,95 min,23.50 km,81 min
爱江山,https://www.dianping.com/shop/Haka81OFpmFRr07W,正福寺路2号（近板井路）,[北京],"116.286542,39.948088",51906655,2023/3/16 9:27,13.47 km,25 min,16.18 km,52 min,14.11 km,43 min
成都记忆邓记老面,https://www.dianping.com/shop/EWFJYoFdpINXeKY3,工体北路8号院三里屯SOHO3号商场3层305号,[北京],"116.453369,39.932415",13716890190,2023/3/16 9:26,23.20 km,45 min,25.67 km,105 min,22.10 km,77 min
哦了Ori Sake&Food,https://www.dianping.com/shop/G3j5zVZLa5e2WxJQ,交道口南大街47号,[北京],"116.408398,39.937915",13240768756,2023/3/16 9:25,18.69 km,35 min,21.16 km,76 min,17.59 km,54 min
Park Square Restaurant&Lounge园庭,https://www.dianping.com/shop/k4h9NY4BvsC83VSO,将台西路9-3号（珀丽酒店西）,[北京],"116.475783,39.973975",68238880,2023/3/16 9:16,24.89 km,39 min,25.64 km,93 min,22.02 km,78 min
刘嫂肉夹馍,https://www.dianping.com/shop/laSY8EiYWaNVaC3r,丰庆路南小巷2号,[西安],"108.916158,34.251168",15529233156,2023/3/15 20:17,,,,,,
牛者潮汕鲜牛肉火锅,https://www.dianping.com/shop/k2TKBbkDX24fyt3r,丰管路亿潼隆商场一层,[北京],,83733628,2023/3/15 8:53,,,,,,
牛者潮汕鲜牛肉火锅,https://www.dianping.com/shop/H2u4swJJqSlHmm7Z,万丰路306号（七里庄地铁B口往北500米路西）,[北京],"116.290596,39.867401",63824575,2023/3/15 8:53,21.04 km,38 min,23.74 km,85 min,21.67 km,69 min
Peter Pan 意大利餐厅,https://www.dianping.com/shop/G9iTUhTWoLcgApd5,三里屯西五街5号,[北京],"116.453862,39.943229",64651661,2023/3/14 21:04,22.87 km,41 min,25.34 km,84 min,21.76 km,67 min
越舍餐厅,https://www.dianping.com/shop/k4Dj7BbIRgIhRf7y,三里屯SOHO商场2号楼地下B1-217室,[北京],"116.454000,39.932396",57853852,2023/3/14 21:03,23.52 km,47 min,25.99 km,107 min,22.41 km,79 min
Panino Teca品味,https://www.dianping.com/shop/H3GNLchPrSI0PWQp,三里屯街道三里屯北小街1号Paninoteca（北京友谊超市后侧）,[北京],"116.452652,39.943791",84541797,2023/3/14 21:01,22.95 km,42 min,25.43 km,84 min,21.85 km,67 min
日坛睿林餐厅KAVKAZ,https://www.dianping.com/shop/G6ldBfyEYfLEpsW9,神路街39号日坛上街1-51-52号,[北京],"116.443582,39.918987",85696448,2023/3/14 20:59,23.70 km,48 min,26.17 km,106 min,22.60 km,80 min
SULTAN·苏坦土耳其餐厅,https://www.dianping.com/shop/l381wiGnfEpg5s6v,新东路新源里西20号楼金尚首层109,[北京],"116.449664,39.948793",13071101061,2023/3/14 20:58,26.25 km,39 min,23.79 km,75 min,20.22 km,61 min
雅典娜希腊餐厅,https://www.dianping.com/shop/H4iXLbI4gneOL5Z7,三里屯西五街1号,[北京],"116.454717,39.942665",64646036,2023/3/14 20:55,22.67 km,40 min,25.14 km,82 min,21.56 km,66 min
七福神,https://www.dianping.com/shop/G6rKeU3l8lbnzsul,三源里北小街8号楼底商,[北京],"116.456809,39.955715",18510711816,2023/3/14 19:39,20.20 km,35 min,22.68 km,73 min,19.10 km,57 min
三哥田螺,https://www.dianping.com/shop/H1siu1q8dqNcc2Jf,北书院街5号（近育婴堂街）,[成都],"104.086486,30.666825",13808229368,2023/3/14 19:13,,,,,,
明婷饭店,https://www.dianping.com/shop/G1xaQv4zLflSlGTr,外曹家巷26号附16号,[成都],"104.086957,30.673453",83315978,2023/3/14 19:08,,,,,,
泉州菜·牛王进京,https://www.dianping.com/shop/k37apPCkrLlSluZo,三里屯街道三里屯路33号3.3大厦5层5016室,[北京],"116.454506,39.938881",13599916989,2023/3/14 18:16,23.02 km,42 min,25.50 km,85 min,21.92 km,68 min
胜博殿日式炸猪排,https://www.dianping.com/shop/H9Yrqpj7dgHJJD0O,远大路1号E段世纪金源购物中心东区5层5405号,[北京],"116.288274,39.959009",88454700,2023/3/14 14:08,12.00 km,22 min,14.70 km,49 min,12.63 km,36 min
花盐街·民间川菜,https://www.dianping.com/shop/l6GbofwGytGOY3qb,建国门外大街1号国贸商城中区地下二层（溜冰场隔壁）,[北京],"116.459391,39.911098",15210322753,2023/3/11 18:25,26.16 km,55 min,28.63 km,101 min,25.06 km,88 min
花盐街·民间川菜,https://www.dianping.com/shop/H53TyTeac8O3lqV0,半截塔路55号郎园Station南门入口直走100米,[北京],"116.514779,39.966040",17801614121,2023/3/11 18:25,28.15 km,61 min,30.15 km,101 min,26.54 km,83 min
牛麒荟潮汕牛肉火锅,https://www.dianping.com/shop/ihhCHRO9ZnSY6B7c,双清路6号院1号楼2层,[北京],"116.346759,40.015425",62357777,2023/3/11 14:40,7.70 km,20 min,9.71 km,42 min,6.09 km,22 min
亚强特色牛杂·红烧牛腩饭,https://www.dianping.com/shop/k8fzLT3fTgdJQqWm,金霞街道长平东路丹霞庄西区28栋105,[汕头],"116.719517,23.362906",13068913036,2023/3/11 12:19,,,,,,
shifter,https://www.dianping.com/shop/kaJBYZy7OLV0hyiV,金宝街88号金宝汇购物中心1层南门旁,[北京],"116.421898,39.915383",15301383942,2023/3/11 0:16,21.53 km,51 min,24.00 km,92 min,20.42 km,75 min
晓小面,https://www.dianping.com/shop/l4kRSCzc9NMwVgBm,光明西街光明西里15号楼（龙潭派出所旁）,[北京],"116.435047,39.885967",15011569920,2023/3/7 21:33,28.16 km,56 min,30.63 km,107 min,27.06 km,87 min
晟永興烤鸭店,https://www.dianping.com/shop/l59EXqVvzWTanyZi,新东路甲5号,[北京],"116.449832,39.940861",64640968,2023/3/5 15:14,27.16 km,41 min,24.70 km,79 min,21.13 km,65 min
提督臻选·TIDU RESERVE,https://www.dianping.com/shop/H1PVarH4xc6Uc2Il,工人体育场北路三里屯太古里南区10号楼4层S10-40单元（星巴克南侧、10号楼入口）,[北京],"116.454921,39.934382",64100677,2023/3/5 15:11,23.40 km,46 min,25.87 km,90 min,22.30 km,75 min
尼岔川味砂锅,https://www.dianping.com/shop/G3zddYEC6QnmVJrF,月坛北街戊3号,[北京],"116.350209,39.918778",4008825336,2023/3/4 21:47,17.95 km,32 min,21.21 km,75 min,16.08 km,59 min
牛串门串串香,https://www.dianping.com/shop/k2Q57MAbWaQShzlK,裕京大厦41号106号,[北京],"116.352067,40.005122",15321364983,2023/3/4 16:54,8.10 km,22 min,11.04 km,49 min,6.99 km,31 min
牛村来人潮汕牛肉火锅,https://www.dianping.com/shop/G5ScomeVEMEgTmPK,抄手胡同64号（繁星戏剧村）,[北京],"116.373963,39.901297",66559599,2023/3/3 21:02,22.80 km,40 min,23.12 km,91 min,23.43 km,74 min
嬲塞de湘菜馆,https://www.dianping.com/shop/G3VPwQuEEXkIvkOL,惠新东街紫光发展大厦南侧巷子西头,[北京],"116.423419,39.980896",13762396669,2023/3/3 15:19,19.36 km,30 min,18.20 km,70 min,14.62 km,61 min
匠熙小馆,https://www.dianping.com/shop/H3zvoalVrWsjxLD4,樱花园西街8号北方安华大厦1层,[北京],"116.418250,39.972857",84109099,2023/3/3 15:19,16.72 km,32 min,19.19 km,68 min,15.61 km,51 min
Gangster Bar,https://www.dianping.com/shop/igKlqQ8gmkhKCMHr,信息路15号金融科贸大厦1208室,[北京],"116.309494,40.037309",13661290823,2023/3/2 11:24,1.79 km,10 min,3.85 km,21 min,0.78 km,7 min
上海三联书店 · 微言小集,https://www.dianping.com/shop/G9Le3Vh03B6SSEoP,回龙观东大街338号腾讯众创空间一楼东南角,[北京],"116.346288,40.079939",13681454745,2023/2/28 23:53,10.00 km,30 min,9.28 km,40 min,10.37 km,40 min
柏拉图咖啡,https://www.dianping.com/shop/G1IKLhOQpbFl204z,中关村街道成府路53号西北(清华南门西侧),[北京],"116.326274,39.992912",62780637,2023/2/27 12:24,8.07 km,20 min,12.67 km,53 min,6.60 km,29 min
唐宫·粤菜海鲜,https://www.dianping.com/shop/l64TyzD8SolnzApp,首都体育馆南路6号新世纪日航饭店二楼,[北京],"116.327840,39.937628",68491313-000,2023/2/27 12:11,14.11 km,25 min,16.82 km,49 min,14.75 km,38 min
静一餐厅·湖北菜,https://www.dianping.com/shop/iDrSA0KDWZwdUygD,东直门内大街15-9号,[北京],"116.426358,39.941337",18515479595,2023/2/27 11:58,20.97 km,39 min,23.44 km,82 min,19.86 km,58 min
肉串汪,https://www.dianping.com/shop/H6L8igSQXUpJEO05,西大望路光华国际大厦2楼209室,[北京],"116.441616,39.909321",59123686,2023/2/27 10:46,25.36 km,54 min,27.83 km,106 min,24.25 km,86 min
桥头内餐厅,https://www.dianping.com/shop/k1jXzCmYXOotHNDC,崔各庄乡草场地集体土地114号内2号（执照有效期至2020年12月31日）,[北京],"116.506251,39.997235",15321214344,2023/2/24 10:37,24.82 km,51 min,26.82 km,95 min,23.21 km,80 min
新加坡高记KOO KEE Restaurant,https://www.dianping.com/shop/H3HKeHzgQ9i5mSFD,工体北路甲2号盈科中心B1层B118,[北京],"116.458697,39.932893",65390180,2023/2/24 10:36,23.72 km,46 min,26.19 km,94 min,22.62 km,78 min
JOE'S PIZZA,https://www.dianping.com/shop/H96EHKLWHwOzdwTe,金汇路中骏·世界城内街D座1楼W113号（楠火锅、ZOODLE旁）,[北京],"116.451806,39.917822",18811771817,2023/2/24 10:36,26.25 km,55 min,28.73 km,101 min,25.15 km,86 min
紫霞门韩国料理,https://www.dianping.com/shop/jRyszgN1nBW8Ozaz,南湖北路201号中福百货肯德基隔壁,[北京],"116.463629,40.000569",84782323,2023/2/24 10:35,18.32 km,36 min,20.33 km,75 min,16.71 km,60 min
美都波韩国烤肉,https://www.dianping.com/shop/l6GyBFKbQJaGcEYr,湖光中街甲6号望京港旅大厦1楼F106号,[北京],"116.464361,39.996668",64707667,2023/2/24 10:35,19.61 km,37 min,21.62 km,78 min,18.00 km,63 min
豆腐家dubujib,https://www.dianping.com/shop/ip9FCEGoDxFXStrF,西二旗中路33号院2号楼地下一层009号（小米科技园内）,[北京],"116.328517,40.045707",18612317512,2023/2/24 10:34,4.24 km,16 min,4.86 km,24 min,3.13 km,17 min
阿诚市井潮汕菜,https://www.dianping.com/shop/H49cv9lmAInfhoux,和平里中街天元商业大厦一层（人力资源和社会保障部北门对面）,[北京],"116.415519,39.957094",64290170,2023/2/24 10:34,17.86 km,34 min,20.33 km,70 min,16.75 km,54 min
粤食佳,https://www.dianping.com/shop/iOOxCYDaCzwT3VvU,紫竹院路车道沟1号院青东商务区A座一层,[北京],"116.304030,39.945380",88588810,2023/2/24 10:32,12.83 km,22 min,15.54 km,47 min,13.47 km,37 min
粤食佳,https://www.dianping.com/shop/GaN8Ss7ad2ssEZbA,西大望南路32号铭泽生活广场a座2层,[北京],"116.476814,39.864486",67308588,2023/2/24 10:31,36.99 km,64 min,37.73 km,118 min,34.12 km,110 min
闽中闽·福建菜,https://www.dianping.com/shop/H1gy4vdb1JbW0xRR,东三环北路凯德星贸A座1层110-111号（近高和萃）,[北京],"116.462489,39.928049",18513040592,2023/2/24 10:30,24.69 km,48 min,27.16 km,95 min,23.58 km,80 min
一品芗情,https://www.dianping.com/shop/lamw5jv7NBRnpj3f,恩济庄46号G区1幢一层、二层,[北京],"116.284642,39.931067",56352999,2023/2/24 10:30,26.07 km,55 min,28.54 km,102 min,24.96 km,88 min
王胖子驴肉火烧,https://www.dianping.com/shop/G4u2rclxWBMMLccE,新街口东街66号一层,[北京],"116.373228,39.941458",13141165108,2023/2/24 10:29,17.86 km,29 min,18.90 km,68 min,15.32 km,49 min
二胖家铁锅炖大鹅,https://www.dianping.com/shop/k9OPYkDWnJvh1l1t,惠力东路双花园南里三区4号楼1楼1094号,[北京],"116.452433,39.899291",13011291319,2023/2/24 10:28,27.89 km,57 min,30.36 km,108 min,26.78 km,89 min
禧喜私房菜,https://www.dianping.com/shop/EMDUOnWIoTUHQdNl,朝阳北路水碓子南2门禧喜私房菜,[北京],"116.470310,39.923856",18311437327,2023/2/24 10:27,30.69 km,57 min,31.43 km,106 min,27.82 km,96 min
双风车咖啡馆 Twin Windmills,https://www.dianping.com/shop/G1lhlBA69nH6lEOk,静淑南里翰澜庭2号楼110室,[北京],"116.349384,40.003158",82365783,2023/2/23 21:36,7.81 km,20 min,11.37 km,46 min,6.33 km,28 min
岗尖糟粕醋·海南粉·特色炸串,https://www.dianping.com/shop/H6G9h0c6iHD1L5yj,建国门外大街汇京双子座商场地下一层(7-11对面)),[北京],"116.449273,39.908547",18513851973,2023/2/22 19:20,26.61 km,53 min,29.08 km,102 min,25.50 km,87 min
炙屋日式烧肉酒场,https://www.dianping.com/shop/l5cIKVSzMz5U8yiR,新东路新源里西20号楼一层底商112号,[北京],"116.449664,39.948793",13521692749,2023/2/22 0:56,26.25 km,39 min,23.79 km,75 min,20.22 km,61 min
TIGERS老虎西餐,https://www.dianping.com/shop/l8R15mFj8ObDHKRV,凤凰环路1959时间里B1-1号,[北京],"116.453348,39.964179",59773017,2023/2/20 17:30,24.89 km,36 min,25.64 km,89 min,22.02 km,74 min
陈记坝坝面,https://www.dianping.com/shop/k7nYHWhvlDWCZAA6,新东路12号院4号楼1层1-016,[北京],"116.450208,39.939716",13601234164,2023/2/20 17:08,27.18 km,41 min,24.72 km,80 min,21.15 km,65 min
春至Bistro,https://www.dianping.com/shop/j6nKzZ0Dsg95Rv4E,金台路红庙北里14号楼沿河底商,[北京],"116.478609,39.922035",18500951619,2023/2/20 13:51,30.62 km,55 min,31.36 km,105 min,27.75 km,94 min
卤德门甜皮鸭,https://www.dianping.com/shop/E8KWe2O1r057qbXf,金泽家园A区底商,[北京],"116.563431,39.955870",13183485678,2023/2/20 11:27,28.72 km,65 min,30.73 km,104 min,27.11 km,87 min
彭记铁锅肥肠,https://www.dianping.com/shop/k8QO9cswV46vWgJp,双榆树三街地铁4号线人民大学站A2出口东200米,[北京],"116.321367,39.966956",18611178578,2023/2/20 11:25,13.38 km,25 min,20.24 km,60 min,8.58 km,34 min
老字号夜炒饭,https://www.dianping.com/shop/l2gIlF53hBgnv1ek,沸城1F-006,[成都],"104.066301,30.572961",13541398820,2023/2/19 22:20,,,,,,
回味叔叔冒烤鸭,https://www.dianping.com/shop/GagbKz2NgUNCa0is,水碾河路6号80栋附2号,[成都],"104.105426,30.640967",13693441628,2023/2/19 22:12,,,,,,
BATS酒馆,https://www.dianping.com/shop/HauEwAsbcNu4rKDm,黄金城道615号,[上海],"121.402160,31.194574",62888517,2023/2/19 21:40,,,,,,
兄弟蘸水肥肠,https://www.dianping.com/shop/l4DvCrAAhBgNX5KO,临港路一段25号1栋1层14号,[双流区],"103.977818,30.565581",15928021933,2023/2/19 21:29,,,,,,
吴鑫米皮店,https://www.dianping.com/shop/l1HvXH828if4rDdf,雁塔北路78号途客酒店一楼底商（4号线和平门地铁B口）,[西安],"108.963270,34.252164",18729389229,2023/2/17 12:12,,,,,,
清真·郭楠烤肉,https://www.dianping.com/shop/G6nyTj7YjW7UZUmU,广济街74号院（常顺宾馆隔壁）,[西安],,17502977227,2023/2/17 8:47,,,,,,
闪电巴黎 L'ECLAIR DE GENIE,https://www.dianping.com/shop/k2HzYLLLcHDPdEGe,王府井步行街王府井大街王府中環东座三层,[北京],"116.410088,39.912596",13716688270,2023/2/16 10:21,20.84 km,47 min,23.31 km,89 min,19.73 km,71 min
onePlate,https://www.dianping.com/shop/l6aJrylpvOsQztv1,棕树南街8号附5号,[成都],"104.073978,30.613901",13880999854,2023/2/15 19:44,,,,,,
THEWEI巍也·东南亚料理,https://www.dianping.com/shop/FbFBBy3zahZOWgws,玉林街6-附1号,[成都],"104.062121,30.628385",85598818,2023/2/15 18:06,,,,,,
陈记爷爷婆婆蛋烘糕,https://www.dianping.com/shop/k8S1HF5rYvYxmLiw,玉林东路9号（近玉林四巷还玉苑门口）,[成都],"104.062274,30.623349",13881873263,2023/2/15 18:05,,,,,,
青石桥老瓦房肥肠粉总店,https://www.dianping.com/shop/kahOjKF0CypIYlWW,青石桥北街9号,[成都],"104.072292,30.654087",13551113888,2023/2/15 16:08,,,,,,
钢一区伍妹烤鸭,https://www.dianping.com/shop/H9cxP6NPl3HLB42U,得胜上街76号附7号,[成都],"104.105275,30.640677",13688025969,2023/2/15 14:56,,,,,,
黑竹香鸡,https://www.dianping.com/shop/k3e4xdrihbVuNT3x,营和巷40号（万春腌卤斜对面）,[成都],"104.037135,30.681115",17708075560,2023/2/15 13:41,,,,,,
陶德砂锅,https://www.dianping.com/shop/H7SV1G058P7Ucrr6,蜀汉路494号附2号,[成都],"104.015817,30.691003",83518889,2023/2/15 9:34,,,,,,
立文春·牛肉湯·炒海貝,https://www.dianping.com/shop/H8ruAMpTJbBrAQrS,萍水街太合中心（萍水街地铁站C出口）,[杭州],"120.112745,30.302806",15258861017,2023/2/14 19:01,,,,,,
三兄弟高炉烧饼,https://www.dianping.com/shop/k93mOsQ2HIcvBQ6i,玄风桥南巷24号1层,[西安],"108.965492,34.257863",15702950558,2023/2/14 17:49,,,,,,
虾蹼鸭恋虾干锅火锅,https://www.dianping.com/shop/l8gVoDbSoJ2RN3GK,曹家庙社区,[西安],"108.967204,34.321071",18049513445,2023/2/14 17:48,,,,,,
小贝壳酒楼,https://www.dianping.com/shop/k9n81Cra2f9dUfxC,南二环东段路南232号（近经九路）,[西安],"108.981611,34.232224",82243666,2023/2/14 15:40,,,,,,
小贝壳海鲜酒楼,https://www.dianping.com/shop/l5UhTGWT52VhwBfb,西何家村西荷美食商业街二层021号铺,[西安],"108.927975,34.235352",85230017,2023/2/14 15:40,,,,,,
清真·宏顺祥卤汁凉粉,https://www.dianping.com/shop/G5eVmVDgW9B78vG0,北广济街212号,[西安],"108.938842,34.264480",18392627791,2023/2/14 13:29,,,,,,
杨姐烤肉,https://www.dianping.com/shop/l4G6Mc6kmRVaBs94,西关机场兰空招待所路东南侧A幢5号,[西安],"108.920302,34.260171",13720656642,2023/2/14 10:56,,,,,,
鲤承Bistro,https://www.dianping.com/shop/k2Epa6ClFc0lsrZR,太平庄南里1号院（面向杰座大厦左侧平房）,[北京],"116.311873,40.039378",16600095795,2023/2/14 1:37,2.20 km,10 min,3.60 km,20 min,1.09 km,8 min
Fufu福福,https://www.dianping.com/shop/k1zJ6J2Rxv7bXw3e,建国门外大街17号28号楼底商2-109号,[北京],"116.443541,39.909637",18611565630,2023/2/14 1:37,27.18 km,55 min,29.65 km,103 min,26.07 km,88 min
ORIGINE - Coffee&Bistro,https://www.dianping.com/shop/k6XI2LO8NHUatpvV,光华北一街双花园南里三区19号楼1-101,[北京],"116.436293,39.894826",18810172022,2023/2/14 1:36,26.25 km,57 min,28.72 km,108 min,25.14 km,87 min
勇利赵家烤肉坊,https://www.dianping.com/shop/l5bnXMSASau6OMCH,团结南路德兴巷响塘广场一楼,[西安],"108.880659,34.243156",89542062,2023/2/14 0:48,,,,,,
勇利赵家烤肉坊,https://www.dianping.com/shop/H5Uhm1DGlxTVdZFW,纬二街世纪经典大厦1楼,[西安],"108.948787,34.218680",85327133,2023/2/14 0:48,,,,,,
勇利赵家烤肉坊,https://www.dianping.com/shop/iKRuIAC84ztX9KUB,大雁塔街道西影路雁影华庭一楼(西部电影集团对面),[西安],"108.971105,34.223739",85514097,2023/2/14 0:48,,,,,,
勇利赵家烤肉,https://www.dianping.com/shop/i1yf2EDQCVItnjFL,长安北路113号大话南门一楼,[西安],"108.948485,34.239365",85426328,2023/2/14 0:48,,,,,,
勇利赵家烤肉坊,https://www.dianping.com/shop/G93CrqbxUmMtZPuW,翠华路与探花路交叉口北向100米路东,[西安],"108.956533,34.209126",89661120,2023/2/14 0:48,,,,,,
勇利赵家烤肉坊,https://www.dianping.com/shop/EGQbyHyOJDPQnDbr,小寨东路97号鼎浩商务大厦地上一层,[西安],"108.958508,34.223024",87877655,2023/2/14 0:48,,,,,,
陈栗记牛腩饭,https://www.dianping.com/shop/H1u0a0NBYdAm2R8Q,南大街你的披萨隔壁,[西安],"108.945127,34.257289",13571972559,2023/2/12 9:56,,,,,,
陈栗记牛腩饭,https://www.dianping.com/shop/G9VM9R6EmxRm0JrQ,盛龙广场,[西安],"108.945186,34.299333",17392232177,2023/2/12 9:55,,,,,,
椒塘四川风味馆,https://www.dianping.com/shop/l8wvtfPs8uloVRvW,环湖西路乐食宝街底商F106号,[北京],"116.288811,40.047033",18610366755,2023/2/10 23:27,3.16 km,15 min,1.58 km,7 min,3.40 km,12 min
小佐烤肉,https://www.dianping.com/shop/G7cTJcugeTCv88K8,凤城一路东段南康新村437号,[西安],"108.954110,34.311673",13659260696,2023/2/8 10:44,,,,,,
老崔烤鱼,https://www.dianping.com/shop/G8GFbHrzagzjuhq7,蔡家巷32号,[西安],"108.977474,34.255745",15902953959,2023/2/8 10:42,,,,,,
七七家手工秘制擀面皮,https://www.dianping.com/shop/G5dKC6ZNeF9VcOzp,建国路38号,[西安],"108.966828,34.253804",15991756072,2023/2/8 10:39,,,,,,
赵记肝子夹饼,https://www.dianping.com/shop/l4CDBVJwXzJbMFFW,吉祥路与太白南路交叉口东南角,[西安],"108.917423,34.225245",17791361270,2023/2/8 10:38,,,,,,
清真阿勇烤肉,https://www.dianping.com/shop/Gayf7sb0hCIPNsnu,东三路120号,[西安],"108.968395,34.267204",13201721852,2023/2/8 10:37,,,,,,
广东粤秀餐馆,https://www.dianping.com/shop/H8UpDHkjXwGOrfFz,凤鸣路佳家花园北门4-1-1-4号,[西安],"108.934811,34.311658",13488329630,2023/2/8 10:34,,,,,,
桃胡庭院刚刚海鲜烧烤,https://www.dianping.com/shop/H9jWjmPmHfoYIyI7,西仓东巷19号,[西安],"108.936651,34.265648",,2023/2/8 10:32,,,,,,
清真马革委肉丁糊辣汤,https://www.dianping.com/shop/G1k7PU32B9Y1Hl99,长乐坊与新乐路交叉口东20米路南,[西安],"108.979142,34.260567",18291907889,2023/2/7 23:50,,,,,,
海家粉蒸肉砂锅米线,https://www.dianping.com/shop/k6H9gUqkyMvVz0OU,尚勤路17号（省二院旁）,[西安],"108.966845,34.260221",13630251156,2023/2/7 12:20,,,,,,
东关吉祥·陕西小吃,https://www.dianping.com/shop/k9EJAMijVaOyAbCN,吉祥路21号,[西安],"108.930269,34.223056",18161866233,2023/2/6 23:56,,,,,,
高记肉夹馍,https://www.dianping.com/shop/k43z3QoN3cLIudQz,第五十八中学东200米,[西安],,,2023/2/6 23:55,,,,,,
赵亚东腊汁肉店,https://www.dianping.com/shop/H1Z9umOS79re2uRy,科技四路望庭国际底商,[西安],"108.893953,34.218429",88443990,2023/2/6 23:55,,,,,,
赵亚东赵记腊汁肉店,https://www.dianping.com/shop/H3i3VBsczGLZANek,桃园路街道桃园路与丰庆路交口西北角(北京同仁堂西侧),[西安],"108.900737,34.251707",84213973,2023/2/6 23:55,,,,,,
莱真牛烤肉,https://www.dianping.com/shop/G9xTYZZlkwb3ocz2,柏树林街道老菜场市井文化创意街区5号楼5-111莱真牛烤肉店,[西安],"108.967131,34.252457",15619299211,2023/2/6 23:10,,,,,,
秦镇西街老四米皮专卖店,https://www.dianping.com/shop/GaOvp2TheMAt7o0j,自强西路347号,[西安],"108.923642,34.280383",13259750071,2023/2/6 23:07,,,,,,
呆呆肉冻+米皮,https://www.dianping.com/shop/k7ro3MUcOAHdYb01,尚俭路万达广场12号楼1楼10101室,[西安],,15389096669,2023/2/6 23:00,,,,,,
吾味香葫芦头,https://www.dianping.com/shop/k39DTMHD63qhZkE6,文艺路街道安西街58号(安西街与建东街交口南行50米路西),[西安],"108.965705,34.245397",82565961,2023/2/6 22:54,,,,,,
普通青年vintage,https://www.dianping.com/shop/l7qFgjKwvmArnRxA,竹笆市钟楼小区7号楼2单元201,[西安],"108.944666,34.257922",15596879052,2023/2/6 17:50,,,,,,
伴久中古,https://www.dianping.com/shop/k5kXDDZ1uetToww7,信义巷建国门综合市场5号招商中心2楼207（信义巷内右手边黄色大楼梯二楼）,[西安],,15529233922,2023/2/6 17:50,,,,,,
狗狗的古着屋vintage古着·玩具,https://www.dianping.com/shop/G5sXtUhfaA4PK5oe,尚勤路民乐园9号楼20102商铺,[西安],"108.966087,34.267098",18229055652,2023/2/6 17:49,,,,,,
叶子的复古商店,https://www.dianping.com/shop/G7lRekSJugPdUfzt,顺城南路东段老菜场市井文化创意街区3号楼606,[西安],"108.967131,34.252457",13028592912,2023/2/6 17:45,,,,,,
